entityId,Data_Release,Id,type,CDS_Release,IDC_Release,Component
syn24167868,Release 1.0,,file,,,OtherAssay
syn24167926,Release 1.0,,file,,,OtherAssay
syn24991799,Release 1.0,,file,,,OtherAssay
syn24991879,Release 1.0,,file,,,OtherAssay
syn24167626,Release 1.0,,file,,,OtherAssay
syn24167685,Release 1.0,,file,,,OtherAssay
syn24167742,Release 1.0,,file,,,OtherAssay
syn24167788,Release 1.0,,file,,,OtherAssay
syn24167623,Release 1.0,,file,,,OtherAssay
syn24167657,Release 1.0,,file,,,OtherAssay
syn24167705,Release 1.0,,file,,,OtherAssay
syn24167762,Release 1.0,,file,,,OtherAssay
syn24167647,Release 1.0,,file,,,OtherAssay
syn24167687,Release 1.0,,file,,,OtherAssay
syn24167737,Release 1.0,,file,,,OtherAssay
syn24167776,Release 1.0,,file,,,OtherAssay
syn24167643,Release 1.0,,file,,,OtherAssay
syn24167689,Release 1.0,,file,,,OtherAssay
syn24167739,Release 1.0,,file,,,OtherAssay
syn24167781,Release 1.0,,file,,,OtherAssay
syn24167640,Release 1.0,,file,,,OtherAssay
syn24167704,Release 1.0,,file,,,OtherAssay
syn24167747,Release 1.0,,file,,,OtherAssay
syn24167795,Release 1.0,,file,,,OtherAssay
syn24167851,Release 1.0,,file,,,OtherAssay
syn24167941,Release 1.0,,file,,,OtherAssay
syn24991805,Release 1.0,,file,,,OtherAssay
syn24991888,Release 1.0,,file,,,OtherAssay
syn23875727,Release 1.0,,file,,,OtherAssay
syn23875785,Release 1.0,,file,,,OtherAssay
syn23875860,Release 1.0,,file,,,OtherAssay
syn23874264,Release 1.0,,file,,,OtherAssay
syn23875534,Release 1.0,,file,,,OtherAssay
syn23874530,Release 1.0,,file,,,OtherAssay
syn23876272,Release 1.0,,file,,,OtherAssay
syn23875490,Release 1.0,,file,,,OtherAssay
syn23874592,Release 1.0,,file,,,OtherAssay
syn23875615,Release 1.0,,file,,,OtherAssay
syn23874474,Release 1.0,,file,,,OtherAssay
syn23876488,Release 1.0,,file,,,OtherAssay
syn23874793,Release 1.0,,file,,,OtherAssay
syn23873830,Release 1.0,,file,,,OtherAssay
syn23874567,Release 1.0,,file,,,OtherAssay
syn23875397,Release 1.0,,file,,,OtherAssay
syn23875636,Release 1.0,,file,,,OtherAssay
syn23876510,Release 1.0,,file,,,OtherAssay
syn23874319,Release 1.0,,file,,,OtherAssay
syn23874475,Release 1.0,,file,,,OtherAssay
syn23874425,Release 1.0,,file,,,OtherAssay
syn23874401,Release 1.0,,file,,,OtherAssay
syn23876703,Release 1.0,,file,,,OtherAssay
syn23876651,Release 1.0,,file,,,OtherAssay
syn23875886,Release 1.0,,file,,,OtherAssay
syn23873727,Release 1.0,,file,,,OtherAssay
syn23873640,Release 1.0,,file,,,OtherAssay
syn23874160,Release 1.0,,file,,,OtherAssay
syn23874120,Release 1.0,,file,,,OtherAssay
syn25002178,Release 1.0,,file,,,OtherAssay
syn25002168,Release 1.0,,file,,,OtherAssay
syn25002180,Release 1.0,,file,,,OtherAssay
syn25002172,Release 1.0,,file,,,OtherAssay
syn25002171,Release 1.0,,file,,,OtherAssay
syn25002176,Release 1.0,,file,,,OtherAssay
syn25002174,Release 1.0,,file,,,OtherAssay
syn23874929,Release 1.0,,file,,,OtherAssay
syn23875679,Release 1.0,,file,,,OtherAssay
syn23876037,Release 1.0,,file,,,OtherAssay
syn23875257,Release 1.0,,file,,,OtherAssay
syn23873620,Release 1.0,,file,,,OtherAssay
syn23876194,Release 1.0,,file,,,OtherAssay
syn23873835,Release 1.0,,file,,,OtherAssay
syn23874946,Release 1.0,,file,,,OtherAssay
syn23875861,Release 1.0,,file,,,OtherAssay
syn23874373,Release 1.0,,file,,,OtherAssay
syn23875345,Release 1.0,,file,,,OtherAssay
syn23873933,Release 1.0,,file,,,OtherAssay
syn23873584,Release 1.0,,file,,,OtherAssay
syn23874865,Release 1.0,,file,,,OtherAssay
syn23875757,Release 1.0,,file,,,OtherAssay
syn23875102,Release 1.0,,file,,,OtherAssay
syn23876057,Release 1.0,,file,,,OtherAssay
syn23873941,Release 1.0,,file,,,OtherAssay
syn23875228,Release 1.0,,file,,,OtherAssay
syn23875009,Release 1.0,,file,,,OtherAssay
syn23874054,Release 1.0,,file,,,OtherAssay
syn23875006,Release 1.0,,file,,,OtherAssay
syn23874197,Release 1.0,,file,,,OtherAssay
syn23874033,Release 1.0,,file,,,OtherAssay
syn23874836,Release 1.0,,file,,,OtherAssay
syn23875159,Release 1.0,,file,,,OtherAssay
syn23873804,Release 1.0,,file,,,OtherAssay
syn23874240,Release 1.0,,file,,,OtherAssay
syn23875049,Release 1.0,,file,,,OtherAssay
syn23874686,Release 1.0,,file,,,OtherAssay
syn23873954,Release 1.0,,file,,,OtherAssay
syn23875528,Release 1.0,,file,,,OtherAssay
syn23875020,Release 1.0,,file,,,OtherAssay
syn23873870,Release 1.0,,file,,,OtherAssay
syn23875414,Release 1.0,,file,,,OtherAssay
syn23875217,Release 1.0,,file,,,OtherAssay
syn23875770,Release 1.0,,file,,,OtherAssay
syn23875940,Release 1.0,,file,,,OtherAssay
syn23875584,Release 1.0,,file,,,OtherAssay
syn23875309,Release 1.0,,file,,,OtherAssay
syn23875329,Release 1.0,,file,,,OtherAssay
syn23874110,Release 1.0,,file,,,OtherAssay
syn23873714,Release 1.0,,file,,,OtherAssay
syn23875173,Release 1.0,,file,,,OtherAssay
syn23875180,Release 1.0,,file,,,OtherAssay
syn23874829,Release 1.0,,file,,,OtherAssay
syn23874322,Release 1.0,,file,,,OtherAssay
syn23875225,Release 1.0,,file,,,OtherAssay
syn23873534,Release 1.0,,file,,,OtherAssay
syn23874741,Release 1.0,,file,,,OtherAssay
syn23874794,Release 1.0,,file,,,OtherAssay
syn23874807,Release 1.0,,file,,,OtherAssay
syn23873583,Release 1.0,,file,,,OtherAssay
syn23876052,Release 1.0,,file,,,OtherAssay
syn23874930,Release 1.0,,file,,,OtherAssay
syn23874482,Release 1.0,,file,,,OtherAssay
syn23875376,Release 1.0,,file,,,OtherAssay
syn23876481,Release 1.0,,file,,,OtherAssay
syn23874488,Release 1.0,,file,,,OtherAssay
syn23875969,Release 1.0,,file,,,OtherAssay
syn25126546,Release 1.0,,file,,,OtherAssay
syn25126522,Release 1.0,,file,,,OtherAssay
syn25126549,Release 1.0,,file,,,OtherAssay
syn25126566,Release 1.0,,file,,,OtherAssay
syn25126529,Release 1.0,,file,,,OtherAssay
syn25126541,Release 1.0,,file,,,OtherAssay
syn25126528,Release 1.0,,file,,,OtherAssay
syn25126551,Release 1.0,,file,,,OtherAssay
syn25126580,Release 1.0,,file,,,OtherAssay
syn25126518,Release 1.0,,file,,,OtherAssay
syn25126565,Release 1.0,,file,,,OtherAssay
syn25126527,Release 1.0,,file,,,OtherAssay
syn25126512,Release 1.0,,file,,,OtherAssay
syn25126563,Release 1.0,,file,,,OtherAssay
syn25126525,Release 1.0,,file,,,OtherAssay
syn25126578,Release 1.0,,file,,,OtherAssay
syn25126532,Release 1.0,,file,,,OtherAssay
syn25126547,Release 1.0,,file,,,OtherAssay
syn25126515,Release 1.0,,file,,,OtherAssay
syn25126520,Release 1.0,,file,,,OtherAssay
syn25126543,Release 1.0,,file,,,OtherAssay
syn25126538,Release 1.0,,file,,,OtherAssay
syn25126531,Release 1.0,,file,,,OtherAssay
syn25126583,Release 1.0,,file,,,OtherAssay
syn25126548,Release 1.0,,file,,,OtherAssay
syn25126534,Release 1.0,,file,,,OtherAssay
syn25126568,Release 1.0,,file,,,OtherAssay
syn25126579,Release 1.0,,file,,,OtherAssay
syn25126555,Release 1.0,,file,,,OtherAssay
syn25126574,Release 1.0,,file,,,OtherAssay
syn25126556,Release 1.0,,file,,,OtherAssay
syn25126516,Release 1.0,,file,,,OtherAssay
syn25126524,Release 1.0,,file,,,OtherAssay
syn25126577,Release 1.0,,file,,,OtherAssay
syn25126582,Release 1.0,,file,,,OtherAssay
syn25126584,Release 1.0,,file,,,OtherAssay
syn25126569,Release 1.0,,file,,,OtherAssay
syn25126511,Release 1.0,,file,,,OtherAssay
syn25126581,Release 1.0,,file,,,OtherAssay
syn25126570,Release 1.0,,file,,,OtherAssay
syn25126564,Release 1.0,,file,,,OtherAssay
syn25126539,Release 1.0,,file,,,OtherAssay
syn25126575,Release 1.0,,file,,,OtherAssay
syn25126561,Release 1.0,,file,,,OtherAssay
syn25126576,Release 1.0,,file,,,OtherAssay
syn25126544,Release 1.0,,file,,,OtherAssay
syn25126530,Release 1.0,,file,,,OtherAssay
syn25126567,Release 1.0,,file,,,OtherAssay
syn25126557,Release 1.0,,file,,,OtherAssay
syn25126535,Release 1.0,,file,,,OtherAssay
syn25126514,Release 1.0,,file,,,OtherAssay
syn25126562,Release 1.0,,file,,,OtherAssay
syn25126550,Release 1.0,,file,,,OtherAssay
syn25126537,Release 1.0,,file,,,OtherAssay
syn25126553,Release 1.0,,file,,,OtherAssay
syn25126552,Release 1.0,,file,,,OtherAssay
syn25126517,Release 1.0,,file,,,OtherAssay
syn25126523,Release 1.0,,file,,,OtherAssay
syn25126572,Release 1.0,,file,,,OtherAssay
syn25126542,Release 1.0,,file,,,OtherAssay
syn25126558,Release 1.0,,file,,,OtherAssay
syn25126554,Release 1.0,,file,,,OtherAssay
syn25126559,Release 1.0,,file,,,OtherAssay
syn25126519,Release 1.0,,file,,,OtherAssay
syn25126521,Release 1.0,,file,,,OtherAssay
syn25126571,Release 1.0,,file,,,OtherAssay
syn25126560,Release 1.0,,file,,,OtherAssay
syn25126513,Release 1.0,,file,,,OtherAssay
syn25126526,Release 1.0,,file,,,OtherAssay
syn25126536,Release 1.0,,file,,,OtherAssay
syn25126540,Release 1.0,,file,,,OtherAssay
syn25126533,Release 1.0,,file,,,OtherAssay
syn25126656,Release 1.0,,file,,,OtherAssay
syn25126611,Release 1.0,,file,,,OtherAssay
syn25126609,Release 1.0,,file,,,OtherAssay
syn25126649,Release 1.0,,file,,,OtherAssay
syn25126610,Release 1.0,,file,,,OtherAssay
syn25126615,Release 1.0,,file,,,OtherAssay
syn25126596,Release 1.0,,file,,,OtherAssay
syn25126651,Release 1.0,,file,,,OtherAssay
syn25126618,Release 1.0,,file,,,OtherAssay
syn25126620,Release 1.0,,file,,,OtherAssay
syn25126677,Release 1.0,,file,,,OtherAssay
syn25126659,Release 1.0,,file,,,OtherAssay
syn25126616,Release 1.0,,file,,,OtherAssay
syn25126603,Release 1.0,,file,,,OtherAssay
syn25126661,Release 1.0,,file,,,OtherAssay
syn25126622,Release 1.0,,file,,,OtherAssay
syn25126647,Release 1.0,,file,,,OtherAssay
syn25126631,Release 1.0,,file,,,OtherAssay
syn25126629,Release 1.0,,file,,,OtherAssay
syn25126614,Release 1.0,,file,,,OtherAssay
syn25126636,Release 1.0,,file,,,OtherAssay
syn25126607,Release 1.0,,file,,,OtherAssay
syn25126642,Release 1.0,,file,,,OtherAssay
syn25126657,Release 1.0,,file,,,OtherAssay
syn25126637,Release 1.0,,file,,,OtherAssay
syn25126654,Release 1.0,,file,,,OtherAssay
syn25126658,Release 1.0,,file,,,OtherAssay
syn25126606,Release 1.0,,file,,,OtherAssay
syn25126653,Release 1.0,,file,,,OtherAssay
syn25126660,Release 1.0,,file,,,OtherAssay
syn25126638,Release 1.0,,file,,,OtherAssay
syn25126625,Release 1.0,,file,,,OtherAssay
syn25126630,Release 1.0,,file,,,OtherAssay
syn25126640,Release 1.0,,file,,,OtherAssay
syn25126621,Release 1.0,,file,,,OtherAssay
syn25126644,Release 1.0,,file,,,OtherAssay
syn25126595,Release 1.0,,file,,,OtherAssay
syn25126601,Release 1.0,,file,,,OtherAssay
syn25126586,Release 1.0,,file,,,OtherAssay
syn25126585,Release 1.0,,file,,,OtherAssay
syn25126597,Release 1.0,,file,,,OtherAssay
syn25126593,Release 1.0,,file,,,OtherAssay
syn25126626,Release 1.0,,file,,,OtherAssay
syn25126633,Release 1.0,,file,,,OtherAssay
syn25126652,Release 1.0,,file,,,OtherAssay
syn25126590,Release 1.0,,file,,,OtherAssay
syn25126600,Release 1.0,,file,,,OtherAssay
syn25126684,Release 1.0,,file,,,OtherAssay
syn25126591,Release 1.0,,file,,,OtherAssay
syn25126619,Release 1.0,,file,,,OtherAssay
syn25126599,Release 1.0,,file,,,OtherAssay
syn25126646,Release 1.0,,file,,,OtherAssay
syn25126594,Release 1.0,,file,,,OtherAssay
syn25126627,Release 1.0,,file,,,OtherAssay
syn25126634,Release 1.0,,file,,,OtherAssay
syn25126588,Release 1.0,,file,,,OtherAssay
syn25126635,Release 1.0,,file,,,OtherAssay
syn25126645,Release 1.0,,file,,,OtherAssay
syn25126628,Release 1.0,,file,,,OtherAssay
syn25126605,Release 1.0,,file,,,OtherAssay
syn25126592,Release 1.0,,file,,,OtherAssay
syn25126639,Release 1.0,,file,,,OtherAssay
syn25126602,Release 1.0,,file,,,OtherAssay
syn25126598,Release 1.0,,file,,,OtherAssay
syn25126589,Release 1.0,,file,,,OtherAssay
syn25126612,Release 1.0,,file,,,OtherAssay
syn25126632,Release 1.0,,file,,,OtherAssay
syn25126623,Release 1.0,,file,,,OtherAssay
syn25126641,Release 1.0,,file,,,OtherAssay
syn25126643,Release 1.0,,file,,,OtherAssay
syn25126587,Release 1.0,,file,,,OtherAssay
